保生要录,蒲处贯
保生余录,张介庵
保生馀录,张介庵
保生月录,韋(韦)行规
保生月录,韦行规
保嗣痘疹灵验仙书,蔡继周
保胎种子国音篡要,陈大人
保童水鉴,佚名
保婴粹要,薛己
保婴粹要,撰
保婴撮要,薛铠
保婴撮要续集,薛铠
保婴金镜,薛已
保婴金镜,薛己
保婴金镜,钱乙
保婴金镜录,钱乙
保婴金镜录,薛己
保婴金镜录,佚名
保婴良方,阮直
保婴录,唐欧
保婴录,欧士海
保婴录山谷便方、,欧士海
保婴全镜录,薛已
保婴全书,薛铠
保婴全书,薛■
保婴须知,片仓鹤陵（元周）
保婴须知,片仓鹤陵(元周0
保婴须知,片仓元周
保婴易知录,吴宁澜
保幼新编,成无忌
保幼新编,申氏
保幼新编,成逸
保幼新编,卢光履
保幼新编,无忌先生
保元堂药目,保元堂
葆光道人秘傅眼科,葆光道人
抱朴子内篇外篇,葛洪
抱乙子幼科指掌遗稿,叶其泰
暴证知要,沈野
北窗琐谈,橘春日军(南溪)
北齐医方,王昶
北山医案,北三友松
北山医案,北山寿庵
北山医话,北山椎隐
北山医话前集,北山恂益
北山医话前集,北山益
北山医话,芳村恂益(樵隐)
北山医话,方村恂益
北山医荣,北山寿庵(道修)
北山友松子医案,北山道修(寿庵)
北山友松子医案附大明老人用药方一,北山道修(寿庵)
贝原先生养生说,贝原笃信
贝原养生训,贝原笃信
备荒草木图,建部由正（清庵）
备急本草,唐慎微
备急本草,王继先等
备急灸法,张公涣
备急灸法,闻人耆年
备急灸法,张锐
备急灸法附针灸择日编集附,张公焕
备急良方,钱国宾
备急良方,钱(未复印上)
备急千金要方三十附,孙思邈
备急千金要方孙真人,孙思邈
备全古今便良方,郭坦
备全古今十便良方四十卷缺第十三至第二十一第二十三至第三十,郭坦
备全古今十便良方四十卷缺卷第七第十三至第二十一,郭坦
备全总效方,李朝正
本草奥义问答,唐宗海
本草必读本草纲目篡必读五种四十七卷32册,何镇
本草必阅,著者佚名
本草便读,张秉成
本草便读,江敏书
本草便,张懋臣
本草便,张懋辰
本草辨明,林贞亮著
本草辨明,林贞亮
本草辨疑,远藤元理
本草辨疑卷一至五,远藤元理
本草乘雅半偈,卢之颐
本草崇原,仲昴庭
本草从新卷一至一八,吴仪洛
本草从新十八药性总义十八,吴仪洛
本草撮要,陈其瑞
本草大义卷首、卷一至四,神田玄泉
本草单方,海虞
本草单方,缪希雍
本草单方,方如川
本草定衡,龚信
本草洞诠,沈穆
本草发挥,徐彦纯
本草发挥卷之一至四,徐彦纯
本草发挥,徐宗彦
本草发挥,徐彦沌
本草发解,澁江长伯
本草发明,皇甫嵩
本草发明蒙筌二首名医考一总论一,陈嘉谟
本草发明切要,张三锡
本草发明切要六卷缺卷第一第二,张三锡
本草方汇,阙名
本草分经,维摩和尚(姚澜)
本草分类,撰者佚名
本草逢原,张璐
本草附方便览,黄道渊
本草概要,张赞臣
本草纲疏要精编,李建元
本草纲纂疏卷一至一0、一二至二0,曾槃
本草歌括,胡仕可
本草古义,冈村尚谦
